C101OD50
100 50  25    200
0  40   50    0
1  45   68    10
2  45   70    30
3  42   66    10
4  42   68    10
5  42   65    10
6  40   69    20
7  40   66    20
8  38   68    20
9  38   70    10
10  35   66    10
11  35   69    10
12  25   85    20
13  22   75    30
14  22   85    10
15  20   80    40
16  20   85    40
17  18   75    20
18  15   75    20
19  15   80    10
20  30   50    10
21  30   52    20
22  28   52    20
23  28   55    10
24  25   50    10
25  25   52    40
26  25   55    10
27  23   52    10
28  23   55    20
29  20   50    10
30  20   55    10
31  10   35    20
32  10   40    30
33  8   40    40
34  8   45    20
35  5   35    10
36  5   45    10
37  2   40    20
38  0   40    30
39  0   45    20
40  35   30    10
41  35   32    10
42  33   32    20
43  33   35    10
44  32   30    10
45  30   30    10
46  30   32    30
47  30   35    10
48  28   30    10
49  28   35    10
50  26   32    10
51  25   30    10
52  25   35    10
53  44   5    20
54  42   10    40
55  42   15    10
56  40   5    30
57  40   15    40
58  38   5    30
59  38   15    10
60  35   5    20
61  50   30    10
62  50   35    20
63  50   40    50
64  48   30    10
65  48   40    10
66  47   35    10
67  47   40    10
68  45   30    10
69  45   35    10
70  95   30    30
71  95   35    20
72  53   30    10
73  92   30    10
74  53   35    50
75  45   65    20
76  90   35    10
77  88   30    10
78  88   35    20
79  87   30    10
80  85   25    10
81  85   35    30
82  75   55    20
83  72   55    10
84  70   58    20
85  68   60    30
86  66   55    10
87  65   55    20
88  65   60    30
89  63   58    10
90  60   55    10
91  60   60    10
92  67   85    20
93  65   85    40
94  65   82    10
95  62   80    30
96  60   80    10
97  60   85    30
98  58   75    20
99  55   80    10
100  55   85    20
101  77   75    50
102  9   48    50
103  39   76    50
104  4   58    50
105  21   14    50
106  11   11    50
107  38   26    50
108  8   83    50
109  74   51    50
110  68   50    50
111  64   38    50
112  43   49    50
113  32   69    50
114  36   68    50
115  42   24    50
116  84   53    50
117  0   19    50
118  6   75    50
119  40   12    50
120  8   43    50
121  64   14    50
122  78   35    50
123  36   7    50
124  83   20    50
125  49   37    50
126  20   16    50
127  90   37    50
128  11   18    50
129  20   25    50
130  57   7    50
131  42   46    50
132  6   37    50
133  34   58    50
134  41   52    50
135  36   73    50
136  20   28    50
137  34   74    50
138  36   16    50
139  5   15    50
140  43   65    50
141  74   28    50
142  83   23    50
143  30   41    50
144  57   50    50
145  90   22    50
146  23   8    50
147  40   78    50
148  25   74    50
149  25   73    50
150  78   34    50
