RC201OD50
100 50  25    1000
0  40   50    0
1  25   85    20
2  22   75    30
3  22   85    10
4  20   80    40
5  20   85    20
6  18   75    20
7  15   75    20
8  15   80    10
9  10   35    20
10  10   40    30
11  8   40    40
12  8   45    20
13  5   35    10
14  5   45    10
15  2   40    20
16  0   40    20
17  0   45    20
18  44   5    20
19  42   10    40
20  42   15    10
21  40   5    10
22  40   15    40
23  38   5    30
24  38   15    10
25  35   5    20
26  95   30    30
27  95   35    20
28  92   30    10
29  90   35    10
30  88   30    10
31  88   35    20
32  87   30    10
33  85   25    10
34  85   35    30
35  67   85    20
36  65   85    40
37  65   82    10
38  62   80    30
39  60   80    10
40  60   85    30
41  58   75    20
42  55   80    10
43  55   85    20
44  55   82    10
45  20   82    10
46  18   80    10
47  2   45    10
48  42   5    10
49  42   12    10
50  72   35    30
51  55   20    19
52  25   30    3
53  20   50    5
54  55   60    16
55  30   60    16
56  50   35    19
57  30   25    23
58  15   10    20
59  10   20    19
60  15   60    17
61  45   65    9
62  65   35    3
63  65   20    6
64  45   30    17
65  35   40    16
66  41   37    16
67  64   42    9
68  40   60    21
69  31   52    27
70  35   69    23
71  65   55    14
72  63   65    8
73  2   60    5
74  20   20    8
75  5   5    16
76  60   12    31
77  23   3    7
78  8   56    27
79  6   68    30
80  47   47    13
81  49   58    10
82  27   43    9
83  37   31    14
84  57   29    18
85  63   23    2
86  21   24    28
87  12   24    13
88  24   58    19
89  67   5    25
90  37   47    6
91  49   42    13
92  53   43    14
93  61   52    3
94  57   48    23
95  56   37    6
96  55   54    26
97  4   18    35
98  26   52    9
99  26   35    15
100  31   67    3
101  38   6    40
102  51   71    40
103  64   12    40
104  16   30    40
105  65   8    40
106  46   53    40
107  2   72    40
108  83   8    40
109  75   10    40
110  11   76    40
111  35   15    40
112  51   9    40
113  79   82    40
114  1   67    40
115  61   43    40
116  16   26    40
117  72   71    40
118  4   36    40
119  35   70    40
120  55   54    40
121  5   70    40
122  67   58    40
123  3   44    40
124  54   72    40
125  61   8    40
126  91   82    40
127  41   51    40
128  41   71    40
129  33   31    40
130  82   16    40
131  65   17    40
132  67   82    40
133  4   70    40
134  74   78    40
135  5   19    40
136  51   42    40
137  38   45    40
138  8   65    40
139  71   47    40
140  29   69    40
141  85   35    40
142  57   70    40
143  21   36    40
144  24   34    40
145  33   31    40
146  17   15    40
147  82   43    40
148  18   45    40
149  43   33    40
150  23   70    40
